Job Title,Job URL,Company Name,Company URL,Exp,Salary,Location,Skills,Posted
Assistant Manager/ Manager/ Data Scientist - Python/ Machine Learning,https://www.naukri.com/job-listings-assistant-manager-manager-data-scientist-python-machine-learning-huquo-consulting-pvt-ltd-bangalore-bengaluru-3-to-8-years-291220904342?src=jobsearchDesk&sid=1643778307316381&xp=20&px=1,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Data Science|Predictive Modeling|NLP|Data wrangling|Data Management|Deep Learning|Machine Learning|Numpy,4 Days Ago
Data Scientist (Machine Learning /AI),https://www.naukri.com/job-listings-data-scientist-machine-learning-ai-mastermind-network-gurgaon-gurugram-4-to-6-years-290122001612?src=jobsearchDesk&sid=1643778307316381_1&xp=1&px=2,Mastermind Network,https://www.naukri.com/mastermind-network-jobs-careers-754,4-6 Yrs,Not disclosed,Gurgaon/Gurugram,Tensorflow|Pytorch|deep learning|python|data science|Artificial Intelligence|decision trees|Natural Language Processing,3 Days Ago
Google Cloud Machine Learning Services Data Science Practitioner,https://www.naukri.com/job-listings-google-cloud-machine-learning-services-data-science-practitioner-accenture-solutions-pvt-ltd-pune-12-to-15-years-211221909645?src=jobsearchDesk&sid=1643778307316381_1&xp=2&px=2,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,12-15 Yrs,Not disclosed,Pune,IT Skills|Java|Python|Data Science|Machine Learning|Cloud|Big Data|Architecture,1 Day Ago
Job opening For Machine Learning developer with Wipro,https://www.naukri.com/job-listings-opening-for-machine-learning-developer-with-wipro-wipro-limited-pune-chennai-bangalore-bengaluru-11-to-15-years-260122000523?src=jobsearchDesk&sid=1643778307316381_1&xp=3&px=2,Wipro,https://www.naukri.com/wipro-jobs-careers-53141,11-15 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru",ML topologies|Pattern Recognition|Image Processing|Computer Vision|Machine Learning,6 Days Ago
Job opening For Machine Learning developer with Wipro,https://www.naukri.com/job-listings-opening-for-machine-learning-developer-with-wipro-wipro-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-6-to-10-years-260122000514?src=jobsearchDesk&sid=1643778307316381_1&xp=4&px=2,Wipro,https://www.naukri.com/wipro-jobs-careers-53141,6-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Tensorflow|Python|Semantic Segmentation|Caffe|MxNET|Keras|ONNX|OpenVINO,6 Days Ago
Job opening For Machine Learning developer with Wipro,https://www.naukri.com/job-listings-opening-for-machine-learning-developer-with-wipro-wipro-limited-pune-chennai-bangalore-bengaluru-3-to-5-years-260122000507?src=jobsearchDesk&sid=1643778307316381_1&xp=5&px=2,Wipro,https://www.naukri.com/wipro-jobs-careers-53141,3-5 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru",Image retrieval|Apache|PyTorch|deep learning|Python|TesnorRT|Image generation|Caffe,6 Days Ago
Machine Learning Engineer  - Deep Learning Startup,https://www.naukri.com/job-listings-machine-learning-engineer-deep-learning-startup-connexions-bangalore-bengaluru-1-to-2-years-310122905449?src=jobsearchDesk&sid=1643778307316381_1&xp=6&px=2,Connexions,https://www.naukri.com/premium-jobs-careers-852658,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,Pytorch|Tensorflow|IT Skills|Java|Python|Machine Learning|Kubeflow|deep learning,1 Day Ago
Machine Learning Technology Educator,https://www.naukri.com/job-listings-machine-learning-technology-educator-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-15-years-151221908768?src=jobsearchDesk&sid=1643778307316381_1&xp=7&px=2,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,Azure|Big Data|Deep Learning|Machine Learning|Java|C#|GCP|Apache Spark,1 Day Ago
Machine Learning Test Engineer,https://www.naukri.com/job-listings-machine-learning-test-engineer-qualcomm-technologies-inc-chennai-3-to-8-years-270122501497?src=jobsearchDesk&sid=1643778307316381_1&xp=8&px=2,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-600837,3-8 Yrs,Not disclosed,Chennai,RTOS|Automation|Linux|Configuration management|SOC|Shell scripting|Debugging|Firmware,
Machine Learning Systems Integration & Test Engineer,https://www.naukri.com/job-listings-machine-learning-systems-integration-test-engineer-qualcomm-technologies-inc-chennai-3-to-8-years-270122501496?src=jobsearchDesk&sid=1643778307316381_1&xp=9&px=2,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-600837,3-8 Yrs,Not disclosed,Chennai,Computer science|GIT|Staffing|Machine learning|Software development life cycle|Windows|Firmware|SDLC,
Machine Learning Embedded Platform Test Engineer,https://www.naukri.com/job-listings-machine-learning-embedded-platform-test-engineer-qualcomm-technologies-inc-chennai-3-to-8-years-270122501495?src=jobsearchDesk&sid=1643778307316381_1&xp=10&px=2,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-600837,3-8 Yrs,Not disclosed,Chennai,RTOS|Computer science|Automation|Linux|SOC|Shell scripting|Debugging|Firmware,
Senior Machine Learning Engineer,https://www.naukri.com/job-listings-senior-machine-learning-engineer-docsumo-remote-1-to-3-years-310122500455?src=jobsearchDesk&sid=1643778307316381_1&xp=11&px=2,Docsumo,https://www.naukri.com/docsumo-jobs-careers-5696924,1-3 Yrs,Not disclosed,remote,Python Developer|Machine Learning,
Lead Data Scientist - Machine learning | Advance Auto Parts,https://www.naukri.com/job-listings-lead-data-scientist-machine-learning-advance-auto-parts-talent500-tech-india-private-limited-hyderabad-secunderabad-8-to-11-years-260122000863?src=jobsearchDesk&sid=1643778307316381_1&xp=12&px=2,TALENT500 TECH (INDIA) PRIVATE LIMITED,https://www.naukri.com/talent500-tech-india-jobs-careers-3668670,8-11 Yrs,Not disclosed,Hyderabad/Secunderabad,Machine Learning|AWS|Python,6 Days Ago
Data Scientist - Python/Machine Learning,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-accubits-technologies-trivandrum-thiruvananthapuram-4-to-8-years-250122908707?src=jobsearchDesk&sid=1643778307316381_1&xp=13&px=2,Accubits Technologies,https://www.naukri.com/premium-jobs-jobs-careers-678662,4-8 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram,Tableau|Machine Learning|Python|D3J|Excel|Hadoop|Hive|Spark,7 Days Ago
Data Scientist | Data Engineer | Machine Learning,https://www.naukri.com/job-listings-data-scientist-data-engineer-machine-learning-pitney-bowes-india-pvt-ltd-noida-4-to-9-years-200122010558?src=jobsearchDesk&sid=1643778307316381_1&xp=14&px=2,Pitney Bowes India Pvt ltd,https://www.naukri.com/pitney-bowes-india-jobs-careers-5510272,4-9 Yrs,"10,00,000 - 20,00,000 PA.",Noida,Power Bi|data engineer|Machine Learning|Snowflake|Tableau|Microsoft SQL|Cloud BI|DataApps,12 Days Ago
Machine Learning (Vision) Developer,https://www.naukri.com/job-listings-machine-learning-vision-developer-greycell-software-private-limited-ahmedabad-1-to-3-years-310122003155?src=jobsearchDesk&sid=1643778307316381_1&xp=15&px=2,GREYCELL SOFTWARE PRIVATE LIMITED,https://www.naukri.com/greycell-jobs-careers-3693498,1-3 Yrs,"2,00,000 - 4,50,000 PA.",Ahmedabad(Anand Nagar),Machine Learning|IT Skills|Python|Data Science|Big Data|AWS|Cnn|Integration,1 Day Ago
Machine Learning Application Developer,https://www.naukri.com/job-listings-machine-learning-application-developer-accenture-solutions-pvt-ltd-gurgaon-gurugram-4-to-6-years-310122909415?src=jobsearchDesk&sid=1643778307316381_1&xp=16&px=2,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,4-6 Yrs,Not disclosed,Gurgaon/Gurugram,IT Skills|Java|Python|Testing|Machine Learning|Oracle|HTML|Business process,1 Day Ago
ACN - Applied Intelligence - GCP - Machine Learning Engineer - 09,https://www.naukri.com/job-listings-acn-applied-intelligence-gcp-machine-learning-engineer-09-accenture-solutions-pvt-ltd-pune-2-to-6-years-310122902627?src=jobsearchDesk&sid=1643778307316381_1&xp=17&px=2,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,2-6 Yrs,Not disclosed,Pune,Production support|SAS|SDLC|Data management|Consulting|Machine learning|Business intelligence|microsoft,1 Day Ago
Google Cloud Machine Learning Services Application Developer,https://www.naukri.com/job-listings-google-cloud-machine-learning-services-application-developer-accenture-solutions-pvt-ltd-chennai-6-to-8-years-010222907699?src=jobsearchDesk&sid=1643778307316381_1&xp=18&px=2,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,6-8 Yrs,Not disclosed,Chennai,IT Skills|Java|Python|Machine Learning|Cloud|AWS|Azure|Business process,1 Day Ago
Machine Learning Application Developer,https://www.naukri.com/job-listings-machine-learning-application-developer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-6-to-8-years-010222906785?src=jobsearchDesk&sid=1643778307316381_1&xp=19&px=2,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,6-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Computer science|Business process|Analytical skills|software architecture|Data modeling|Consulting|Machine learning|Data structures,1 Day Ago
GCP Machine Learning Engineer ( Contractual & WFH),https://www.naukri.com/job-listings-gcp-machine-learning-engineer-contractual-wfh-uplers-solutions-private-limited-remote-working-7-to-12-years-270122005619?src=jobsearchDesk&sid=1643778307316381_1&xp=20&px=2,UPLERS SOLUTIONS PRIVATE LIMITED,https://www.naukri.com/uplers-solutions-jobs-careers-897026,7-12 Yrs,Not disclosed,Remote Working,Shell scripting|PyTorch|AI|deep learning|Bash|algorithms|communication|Docker,5 Days Ago
Job opening For Machine Learning developer with Wipro,https://www.naukri.com/job-listings-opening-for-machine-learning-developer-with-wipro-wipro-limited-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-9-to-14-years-200122001303?src=jobsearchDesk&sid=1643778307316381_2&xp=1&px=3,Wipro,https://www.naukri.com/wipro-jobs-careers-53141,9-14 Yrs,"10,00,000 - 20,00,000 PA.","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Computer Vision|Machine Learning|Deep Learning|MxNET|Caffe|Image generation|Instance Segmentation|PyTorch,12 Days Ago
Python Developer - Machine Learning/Data Mining,https://www.naukri.com/job-listings-python-developer-machine-learning-data-mining-huquo-consulting-pvt-ltd-noida-3-to-6-years-310122907903?src=jobsearchDesk&sid=1643778307316381_2&xp=2&px=3,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,3-6 Yrs,Not disclosed,Noida,Data Mining|Machine Learning|Python|Predictive Modeling|R|NLP|Data Modeling|Spark,1 Day Ago
Machine Learning Researcher,https://www.naukri.com/job-listings-machine-learning-researcher-squareroot-consulting-pvt-ltd-bangalore-bengaluru-2-to-6-years-010320600367?src=jobsearchDesk&sid=1643778307316381_2&xp=3&px=3,Squareroot Consulting Pvt Ltd.,https://www.naukri.com/squareroot-consulting-jobs-careers-2172866,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Problem Solving|AI|Mathematics|Machine Learning|Phd|Statistics|Deep Learning|Nosql,
Machine Learning SW Lead,https://www.naukri.com/job-listings-machine-learning-sw-lead-qualcomm-technologies-inc-bangalore-bengaluru-7-to-12-years-270122501493?src=jobsearchDesk&sid=1643778307316381_2&xp=4&px=3,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-600837,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,Wireless|Product management|Computer science|C++|Software design|Configuration management|Machine learning|Data structures,
Machine Learning Engineer - Data Science,https://www.naukri.com/job-listings-machine-learning-engineer-data-science-sp-staffing-services-private-limited-pune-chennai-mumbai-all-areas-6-to-11-years-260122600722?src=jobsearchDesk&sid=1643778307316381_2&xp=5&px=3,SP Staffing Services Private Limited,https://www.naukri.com/sp-staffing-services-jobs-careers-37905,6-11 Yrs,"10,00,000 - 20,00,000 PA.","Pune, Chennai, Mumbai (All Areas)",Machine Learning|IT Skills|Python|Testing|Quality Assurance|Data Science|Cloud|DevOps,
Machine Learning Engineer - Data Science,https://www.naukri.com/job-listings-machine-learning-engineer-data-science-sp-staffing-services-private-limited-pune-chennai-mumbai-all-areas-6-to-11-years-260122000720?src=jobsearchDesk&sid=1643778307316381_2&xp=6&px=3,SP Staffing Services Private Limited,https://www.naukri.com/sp-staffing-services-jobs-careers-37905,6-11 Yrs,"10,00,000 - 20,00,000 PA.","Pune, Chennai, Mumbai (All Areas)",Machine Learning|Azure|Artificial Intelligence|MLflow|Devops|SQL|Data Science|Jenkins,6 Days Ago
Assistant Manager/Manager/Data Scientist - Python/Machine Learning,https://www.naukri.com/job-listings-assistant-manager-manager-data-scientist-python-machine-learning-huquo-consulting-pvt-ltd-bangalore-bengaluru-3-to-8-years-120321905764?src=jobsearchDesk&sid=1643778307316381_2&xp=7&px=3,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Data Science|Predictive Modeling|Tensorflow|Keras|NLP|Data Scientist|Data Management|Data wrangling,4 Days Ago
Machine Learning Engineer (Data Science),https://www.naukri.com/job-listings-machine-learning-engineer-data-science-walmart-labs-bangalore-bengaluru-3-to-6-years-180122500553?src=jobsearchDesk&sid=1643778307316381_2&xp=8&px=3,Walmart,https://www.naukri.com/walmart-jobs-careers-1750978,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,IT Skills|Python|Data Science|Machine Learning|Big Data|Computer science|Coding|Instrumentation,
Machine Learning Toolchain Developer,https://www.naukri.com/job-listings-machine-learning-toolchain-developer-qualcomm-technologies-inc-chennai-3-to-8-years-270122501492?src=jobsearchDesk&sid=1643778307316381_2&xp=9&px=3,"Qualcomm Technologies, Inc",https://www.naukri.com/qualcomm-jobs-careers-600837,3-8 Yrs,Not disclosed,Chennai,Computer science|Computer vision|software architecture|Coding|Staffing|Machine learning|Architectural design|Software development life cycle,
"Chief Engineer - Compiler Expert (Machine Learning, GPU, MLIR, LLVM)",https://www.naukri.com/job-listings-chief-engineer-compiler-expert-machine-learning-gpu-mlir-llvm-career-maker-bangalore-bengaluru-6-to-11-years-010222901683?src=jobsearchDesk&sid=1643778307316381_2&xp=10&px=3,Career Maker,https://www.naukri.com/premium-jobs-careers-852658,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,MLIR|Machine Learning|GPU|TVM|LLVM|PyTorch|Caffe|Tensorflow,1 Day Ago
"Software Engineer NLP, Machine Learning",https://www.naukri.com/job-listings-software-engineer-nlp-machine-learning-global-technologies-bangalore-bengaluru-7-to-12-years-300122901760?src=jobsearchDesk&sid=1643778307316381_2&xp=11&px=3,Global Technologies,https://www.naukri.com/premium-jobs-careers-852658,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,NLP|Machine Learning|Microservices|Stanford CoreNLP|TensorFlow|Agile|Deep Learning|Scrum,2 Days Ago
Machine learning,https://www.naukri.com/job-listings-machine-learning-sahrudaya-healthcare-pvt-ltd-hyderabad-secunderabad-1-to-4-years-310122006438?src=jobsearchDesk&sid=1643778307316381_2&xp=12&px=3,Sahrudaya Healthcare Pvt. Ltd.,https://www.naukri.com/sahrudaya-healthcare-jobs-careers-2666312,1-4 Yrs,Not disclosed,Hyderabad/Secunderabad,Natural Language Processing|Data Analytics|Machine Learning|Statistics|Deep Learning,1 Day Ago
Senior Software Engineer - Machine Learning,https://www.naukri.com/job-listings-senior-software-engineer-machine-learning-saavn-llc-mumbai-2-to-5-years-280122500641?src=jobsearchDesk&sid=1643778307316381_2&xp=13&px=3,"Saavn, LLC",https://www.naukri.com/jiosaavn-jobs-careers-1549942,2-5 Yrs,Not disclosed,Mumbai,Computer science|Data analysis|international travel|Machine learning|Data structures|Silicon|Mathematics|microsoft,
"Python Developer, Django, Data Science, Machine Learning freshers only",https://www.naukri.com/job-listings-python-developer-django-data-science-machine-learning-freshers-only-excel-ptp-it-training-provider-company-india-ahmedabad-0-to-5-years-010721005399?src=jobsearchDesk&sid=1643778307316381_2&xp=14&px=3,Excel PTP - IT Training Provider Company India,https://www.naukri.com/amar-technolabs-jobs-careers-4007932,0-5 Yrs,Not disclosed,Ahmedabad,Python|communication|analytical|debugging|troubleshooting|Django Framework|Automation Framework|ROBOT framework,
Research Scientist Engineer  Machine Learning / NLP,https://www.naukri.com/job-listings-research-scientist-engineer-machine-learning-nlp-career-maker-bangalore-bengaluru-4-to-8-years-290122906043?src=jobsearchDesk&sid=1643778307316381_2&xp=15&px=3,Career Maker,https://www.naukri.com/premium-jobs-careers-852658,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,NLP|DNN|Machine Learning|Speech Recognition|C++|GMM|Neural Networks|HMM,3 Days Ago
Machine Learning Researcher - C++/Python,https://www.naukri.com/job-listings-machine-learning-researcher-c-python-accubits-technologies-trivandrum-thiruvananthapuram-3-to-8-years-290122902149?src=jobsearchDesk&sid=1643778307316381_2&xp=16&px=3,Accubits Technologies,https://www.naukri.com/premium-jobs-jobs-careers-678662,3-8 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram,C++|Machine Learning|Python|CNN|Natural Language Processing|Pattern Recognition|communication|Synthetic Data Generation,3 Days Ago
Machine Learning Engineer | 7-Eleven,https://www.naukri.com/job-listings-machine-learning-engineer-7-eleven-talent500-tech-india-private-limited-bangalore-bengaluru-1-to-3-years-290122003071?src=jobsearchDesk&sid=1643778307316381_2&xp=17&px=3,TALENT500 TECH (INDIA) PRIVATE LIMITED,https://www.naukri.com/talent500-tech-india-jobs-careers-3668670,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,Azure|Machine Learning|Python,3 Days Ago
Microsoft Azure Machine Learning Application Developer,https://www.naukri.com/job-listings-microsoft-azure-machine-learning-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-280122909507?src=jobsearchDesk&sid=1643778307316381_2&xp=18&px=3,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,JDA|Microsoft Azure Machine Learning|analytical|Python Programming|communication|IT Skills|Python|Machine Learning,4 Days Ago
Microsoft Azure Machine Learning Application Developer,https://www.naukri.com/job-listings-microsoft-azure-machine-learning-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-280122909489?src=jobsearchDesk&sid=1643778307316381_2&xp=19&px=3,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Business process|Team management|Data modeling|Analytical|Consulting|Machine learning|Category management|microsoft azure,4 Days Ago
Quality Assurance Firmware Engineer - Machine Learning,https://www.naukri.com/job-listings-quality-assurance-firmware-engineer-machine-learning-d-d-solutions-bangalore-bengaluru-7-to-10-years-230122900918?src=jobsearchDesk&sid=1643778307316381_2&xp=20&px=3,D&D Solutions,https://www.naukri.com/premium-jobs-jobs-careers-678662,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Quality Assurance|Static Analysis|Machine Learning|MISRA|Automated Test Frameworks|ASPICE|Test Management|Conv2D,9 Days Ago
